Slide 001 Tile Summary:
Original Dimensions: 15980x18263
Original Tile Size: 1024x1024
Scale Factor: 1/32x
Scaled Dimensions: 499x570
Scaled Tile Size: 32x32
Total Mask: 80.19%, Total Tissue: 19.81%
Tiles: 16x18 = 288
    30 (10.42%) tiles >=80% tissue
    63 (21.88%) tiles >=10% and <80% tissue
    20 ( 6.94%) tiles >0% and <10% tissue
   175 (60.76%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Original Col Start,Original Row Start,Original Col End,Original Row End,Original Col Size,Original Row Size,Color Factor,S and V Factor,Quantity Factor,Score
48,3,16,0.00,NONE,480,64,499,96,19,32,15372,2051,15980,3075,608,1024,   0,0.16,0.00,0.0000
49,4,1,0.00,NONE,0,96,32,128,32,32,0,3076,1024,4100,1024,1024,   0,0.16,0.00,0.0000
50,4,2,38.67,MEDIUM,32,96,64,128,32,32,1025,3076,2049,4100,1024,1024,  11,1.00,0.20,0.1501
51,4,3,73.63,MEDIUM,64,96,96,128,32,32,2050,3076,3074,4100,1024,1024,   9,1.00,0.20,0.3589
52,4,4,80.18,HIGH,96,96,128,128,32,32,3074,3076,4098,4100,1024,1024,  11,1.00,1.00,0.6180
53,4,5,87.70,HIGH,128,96,160,128,32,32,4099,3076,5123,4100,1024,1024,  21,1.00,1.00,0.7038
54,4,6,31.54,MEDIUM,160,96,192,128,32,32,5124,3076,6148,4100,1024,1024,  74,1.00,0.20,0.2152
55,4,7,0.00,NONE,192,96,224,128,32,32,6149,3076,7173,4100,1024,1024,   0,0.16,0.00,0.0000
56,4,8,0.00,NONE,224,96,256,128,32,32,7173,3076,8197,4100,1024,1024,   0,0.16,0.00,0.0000
57,4,9,0.00,NONE,256,96,288,128,32,32,8198,3076,9222,4100,1024,1024,   0,0.16,0.00,0.0000
58,4,10,0.00,NONE,288,96,320,128,32,32,9223,3076,10247,4100,1024,1024,   0,0.16,0.00,0.0000
